Date.1,S&P 500 ATM Implied Volatility,,Date.2,ATM Implied Volatility for Options on TY Notes,,Date.3,ATM Implied Volatility for Options on Crude Oil Futures,,Date.4,ATM Implied Volatility for Options on Gold Futures,,Date.5,ATM Implied Volatility for Options on Euro Currency Futures,,Date.6,ATM Implied Volatility for Options on Corn Currency Futures
19910308,17.033,,19910307,5.55,,19900307,24.70639,,19930308,8.15909,,19990312,10.196,,19910308,13.912
19910311,17.283,,19910308,4.497,,19900308,23.652,,19930309,8.07129,,19990315,9.647,,19910311,14.064
19910312,16.26,,19910311,5.229,,19900309,23.8936,,19930310,7.99809,,19990316,9.537,,19910312,13.721
19910313,14.949,,19910312,4.207,,19900312,25.65089,,19930311,7.8736,,19990317,10.101,,19910313,15.605
19910314,15.873,,19910313,4.207,,19900313,26.9908,,19930312,8.5325,,19990318,9.594,,19910314,15.811
19910315,14.897,,19910314,4.207,,19900314,27.701,,19930315,8.6497,,19990319,9.738,,19910315,15.949
19910318,15.279,,19910315,4.207,,19900315,29.3337,,19930316,8.258,,19990322,9.564,,19910318,15.003
19910319,16.006,,19910318,5.146,,19900316,28.08169,,19930317,7.63929,,19990323,9.909,,19910319,14.553
19910320,15.716,,19910319,5.84,,19900319,29.48019,,19930318,7.7491,,19990324,9.733,,19910320,13.95
19910321,16.002,,19910320,5.397,,19900320,25.5044,,19930319,7.7052,,19990325,9.806,,19910321,14.888
19910322,15.911,,19910321,5.092,,19900321,24.0328,,19930322,10.15069,,19990326,10.225,,19910322,12.096
19910325,15.458,,19910322,4.795,,19900322,23.5715,,19930323,7.83699,,19990329,11.437,,19910325,12.004
19910326,14.981,,19910325,5.008,,19900323,23.0736,,19930324,9.1476,,19990330,10.251,,19910326,11.631
19910327,15.834,,19910326,5.092,,19900326,24.5233,,19930325,8.69359,,19990331,10.007,,19910327,13.889
19910328,16.376,,19910327,5.054,,19900327,24.45009,,19930326,9.22809,,19990401,9.563,,19910328,14.003
19910401,16.537,,19910328,4.848,,19900328,23.8204,,19930329,8.3422,,19990402,9.563,,19910401,13.774
19910402,17.321,,19910401,5.123,,19900329,22.44389,,19930330,9.4404,,19990405,10.145,,19910402,11.417
19910403,17.73,,19910402,5.214,,19900330,19.3029,,19930331,9.46969,,19990406,10.051,,19910403,13.217
19910404,18.033,,19910403,5.329,,19900402,19.51519,,19930401,9.26469,,19990407,10.22,,19910404,11.928
19910405,17.245,,19910404,5.657,,19900403,19.7495,,19930402,9.6967,,19990408,9.969,,19910405,12.203
19910408,17.213,,19910405,4.886,,19900404,19.97649,,19930405,9.2208,,19990409,9.973,,19910408,12.95
19910409,17.06,,19910408,5.321,,19900405,20.77459,,19930406,9.03779,,19990412,10.075,,19910409,12.386
19910410,17.278,,19910409,5.329,,19900406,22.01189,,19930407,8.9426,,19990413,9.907,,19910410,13.561
19910411,16.21,,19910410,5.901,,19900409,24.6697,,19930408,8.3056,,19990414,9.581,,19910411,13.134
19910412,15.627,,19910411,5.161,,19900410,25.5923,,19930409,8.3056,,19990415,9.535,,19910412,10.929
19910415,15.218,,19910412,4.497,,19900411,26.9468,,19930412,8.56919,,19990416,9.098,,19910415,13.126
19910416,15.555,,19910415,4.673,,19900412,28.19149,,19930413,8.2909,,19990419,9.703,,19910416,10.112
19910417,15.325,,19910416,4.161,,19900416,27.62039,,19930414,8.9755,,19990420,9.264,,19910417,21.541
19910418,15.484,,19910417,5.55,,19900417,29.6632,,19930415,8.34949,,19990421,9.568,,19910418,20.824
19910419,14.97,,19910418,5.39,,19900418,30.6494,,19930416,8.79979,,19990422,9.887,,19910419,21.228
19910422,15.412,,19910419,5.435,,19900419,29.6632,,19930419,9.00109,,19990423,9.87,,19910422,21.747
19910423,15.729,,19910422,5.847,,19900420,28.0158,,19930420,9.26469,,19990426,10.103,,19910423,21.06
19910424,15.774,,19910423,6.069,,19900423,25.85589,,19930421,8.9279,,19990427,9.118,,19910424,20.481
19910425,15.761,,19910424,5.657,,19900424,25.24819,,19930422,9.1988,,19990428,9.043,,19910425,20.313
19910426,15.719,,19910425,5.306,,19900425,26.4636,,19930423,13.31729,,19990429,9.043,,19910426,20.412
19910429,16.655,,19910426,5.298,,19900426,26.71249,,19930426,15.30519,,19990430,8.865,,19910429,21.183
19910430,16.556,,19910429,5.283,,19900427,27.59849,,19930427,14.48519,,19990503,8.99,,19910430,19.023
19910501,15.631,,19910430,5.786,,19900430,29.45089,,19930428,14.4559,,19990504,8.92,,19910501,19.992
19910502,16.013,,19910501,5.573,,19900501,27.45199,,19930429,17.9337,,19990505,9.189,,19910502,20.626
19910503,15.132,,19910502,5.733,,19900502,28.4039,,19930430,19.23699,,19990506,9.292,,19910503,20.168
19910506,15.439,,19910503,5.023,,19900503,27.71559,,19930503,16.68899,,19990507,9.074,,19910506,20.717
19910507,15.585,,19910506,5.176,,19900504,27.46669,,19930504,14.99769,,19990510,8.814,,19910507,19.412
19910508,15.031,,19910507,4.772,,19900507,26.4416,,19930505,13.0354,,19990511,8.728,,19910508,18.848
19910509,14.481,,19910508,5.115,,19900508,27.1152,,19930506,12.89999,,19990512,9.12,,19910509,18.695
19910510,15.309,,19910509,4.993,,19900509,26.7931,,19930507,13.515,,19990513,9.077,,19910510,19.718
19910513,14.766,,19910510,4.657,,19900510,24.9333,,19930510,13.88479,,19990514,8.951,,19910513,21.64
19910514,15.309,,19910513,4.39,,19900511,25.84119,,19930511,13.3942,,19990517,8.871,,19910514,21.266
19910515,16.1,,19910514,5.031,,19900514,25.5191,,19930512,16.11059,,19990518,8.969,,19910515,21.884
19910516,14.828,,19910515,5.031,,19900515,24.54529,,19930513,18.9734,,19990519,8.913,,19910516,21.396
19910517,13.969,,19910516,5.031,,19900516,26.63929,,19930514,19.2443,,19990520,8.843,,19910517,21.877
19910520,14.461,,19910517,5.031,,19900517,26.63929,,19930517,18.29249,,19990521,8.583,,19910520,21.915
19910521,14.014,,19910520,5.55,,19900518,25.1823,,19930518,25.36529,,19990524,8.858,,19910521,21.48
19910522,13.458,,19910521,5.733,,19900521,23.8204,,19930519,24.66239,,19990525,8.73,,19910522,21.48
19910523,14.198,,19910522,5.489,,19900522,24.5013,,19930520,19.93989,,19990526,9.103,,19910523,20.832
19910524,13.32,,19910523,5.268,,19900523,30.3712,,19930521,20.8038,,19990527,9.176,,19910524,17.604
19910528,13.497,,19910524,5.359,,19900524,31.83569,,19930524,19.6324,,19990528,9.784,,19910528,20.977
19910529,13.614,,19910528,5.947,,19900525,28.81389,,19930525,18.179,,19990531,9.784,,19910529,20.824
19910530,14.023,,19910529,5.939,,19900529,29.51679,,19930526,19.669,,19990601,9.896,,19910530,22.64
19910531,14.593,,19910530,5.496,,19900530,33.5786,,19930527,19.96179,,19990602,9.874,,19910531,23.052
19910603,15.501,,19910531,5.367,,19900531,38.27999,,19930528,21.40419,,19990603,9.791,,19910603,23.746
19910604,15.31,,19910603,5.924,,19900601,28.04509,,19930531,21.4042,,19990604,10.101,,19910604,22.472
19910605,15.229,,19910604,5.878,,19900604,27.1152,,19930601,18.90019,,19990607,10.037,,19910605,20.946
19910606,15.225,,19910605,5.817,,19900605,32.31169,,19930602,18.1168,,19990608,10.357,,19910606,20.778
19910607,14.175,,19910606,6.038,,19900606,31.8138,,19930603,18.988,,19990609,10.807,,19910607,20.999
19910610,15.452,,19910607,5.977,,19900607,32.58269,,19930604,18.25589,,19990610,10.494,,19910610,23.891
19910611,15.012,,19910610,6.259,,19900608,30.7227,,19930607,18.3474,,19990611,9.804,,19910611,20.015
19910612,15.099,,19910611,5.863,,19900611,33.41019,,19930608,17.80559,,19990614,9.649,,19910612,25.15
19910613,14.633,,19910612,5.863,,19900612,29.4948,,19930609,17.00379,,19990615,9.799,,19910613,22.869
19910614,13.52,,19910613,5.863,,19900613,30.67869,,19930610,17.0624,,19990616,9.987,,19910614,23.303
19910617,14.217,,19910614,5.863,,19900614,28.7553,,19930611,16.66699,,19990617,9.546,,19910617,25.112
19910618,14.026,,19910617,5.863,,19900615,27.0566,,19930614,15.75549,,19990618,9.429,,19910618,25.928
19910619,14.574,,19910618,5.863,,19900618,32.58269,,19930615,16.64509,,19990621,9.78,,19910619,24.837
19910620,14.056,,19910619,5.863,,19900619,34.721,,19930616,16.52059,,19990622,9.546,,19910620,23.532
19910621,13.789,,19910620,5.863,,19900620,35.46799,,19930617,16.0886,,19990623,9.563,,19910621,23.227
19910624,15.841,,19910621,5.863,,19900621,35.0359,,19930618,15.68959,,19990624,9.859,,19910624,26.866
19910625,16.126,,19910624,4.634,,19900622,33.59329,,19930621,14.74139,,19990625,10.064,,19910625,26.744
19910626,15.283,,19910625,4.566,,19900625,33.53469,,19930622,13.6724,,19990628,10.271,,19910626,28.659
19910627,14.793,,19910626,4.36,,19900626,33.27109,,19930623,17.31139,,19990629,9.497,,19910627,24.684
19910628,17.406,,19910627,4.299,,19900627,32.97809,,19930624,17.09169,,19990630,9.775,,19910628,25.279
19910701,15.763,,19910628,4.589,,19900628,31.3085,,19930625,17.5603,,19990701,9.742,,19910701,26.615
19910702,15.364,,19910701,4.276,,19900629,32.7145,,19930628,17.53829,,19990702,9.957,,19910702,26.874
19910703,16.892,,19910702,4.405,,19900702,33.82759,,19930629,16.94529,,19990705,9.957,,19910703,27.492
19910705,16.825,,19910703,4.932,,19900703,33.82759,,19930630,18.36199,,19990706,9.899,,19910705,26.592
19910708,17.781,,19910705,4.009,,19900705,32.3484,,19930701,18.2266,,19990707,9.672,,19910708,22.563
19910709,16.735,,19910708,4.177,,19900706,34.1938,,19930702,19.11249,,19990708,9.984,,19910709,22.388
19910710,16.589,,19910709,3.887,,19900709,28.6748,,19930705,19.1125,,19990709,9.747,,19910710,21.762
19910711,16.458,,19910710,4.222,,19900710,35.17499,,19930706,21.0235,,19990712,10.17,,19910711,21.129
19910712,15.433,,19910711,4.047,,19900711,37.3426,,19930707,22.80999,,19990713,10.077,,19910712,22.8
19910715,15.02,,19910712,3.643,,19900712,42.54199,,19930708,21.29439,,19990714,9.962,,19910715,25.897
19910716,14.583,,19910715,3.452,,19900713,38.1701,,19930709,21.16629,,19990715,10.039,,19910716,27.187
19910717,14.713,,19910716,3.185,,19900716,38.2873,,19930712,20.07169,,19990716,9.855,,19910717,29.659
19910718,14.787,,19910717,5.283,,19900717,36.9985,,19930713,19.69459,,19990719,10.383,,19910718,25.959
19910719,14.057,,19910718,5.245,,19900718,35.3069,,19930714,18.88549,,19990720,11.303,,19910719,24.7
19910722,13.914,,19910719,4.848,,19900719,37.4452,,19930715,19.3761,,19990721,11.406,,19910722,31.681
19910723,15.114,,19910722,4.825,,19900720,37.71609,,19930716,17.66279,,19990722,11.432,,19910723,46.695
19910724,14.796,,19910723,4.764,,19900723,38.8512,,19930719,18.59269,,19990723,10.877,,19910724,40.019
19910725,14.186,,19910724,5.016,,19900724,39.70059,,19930720,16.93429,,19990726,12.431,,19910725,36.396
19910726,13.804,,19910725,5.031,,19900725,37.0204,,19930721,16.42539,,19990727,11.111,,19910726,42.713
19910729,13.291,,19910726,4.978,,19900726,32.43619,,19930722,15.37839,,19990728,10.943,,19910729,47.023
19910730,12.963,,19910729,4.81,,19900727,26.9102,,19930723,15.6237,,19990729,11.013,,19910730,36.174
19910731,13.104,,19910730,5.084,,19900730,27.0566,,19930726,16.81349,,19990730,10.892,,19910731,45.261
19910801,13.051,,19910731,5.428,,19900731,28.03779,,19930727,16.2607,,19990802,10.977,,19910801,42.049
19910802,12.931,,19910801,5.252,,19900801,36.44919,,19930728,18.7245,,19990803,10.676,,19910802,42.026
19910805,14.207,,19910802,5.512,,19900802,54.7274,,19930729,19.6543,,19990804,11.131,,19910805,35.236
19910806,14.078,,19910805,5.023,,19900803,55.8552,,19930730,21.56529,,19990805,10.782,,19910806,33.992
19910807,14.076,,19910806,5.214,,19900806,102.5332,,19930802,19.77879,,19990806,10.298,,19910807,31.131
19910808,14.243,,19910807,5.397,,19900807,84.4073,,19930803,21.06739,,19990809,10.492,,19910808,30.971
19910809,13.571,,19910808,5.397,,19900808,66.99169,,19930804,18.71349,,19990810,10.439,,19910809,30.635
19910812,13.614,,19910809,4.337,,19900809,63.8352,,19930805,34.8162,,19990811,10.8,,19910812,35.266
19910813,13.492,,19910812,4.581,,19900810,63.19079,,19930806,20.489,,19990812,9.852,,19910813,20.58
19910814,13.73,,19910813,4.741,,19900813,63.1908,,19930809,19.52989,,19990813,9.385,,19910814,19.29
19910815,13.887,,19910814,4.741,,19900814,59.41419,,19930810,19.2187,,19990816,9.92,,19910815,19.908
19910816,14.087,,19910815,4.741,,19900815,56.33119,,19930811,18.52309,,19990817,10.243,,19910816,20.015
19910819,16.753,,19910816,4.741,,19900816,61.41109,,19930812,17.82019,,19990818,10.178,,19910819,22.205
19910820,16.39,,19910819,4.741,,19900817,67.3506,,19930813,17.01479,,19990819,10.527,,19910820,23.326
19910821,13.957,,19910820,4.741,,19900820,61.24269,,19930816,16.7842,,19990820,10.952,,19910821,32.924
19910822,13.246,,19910821,4.741,,19900821,62.24599,,19930817,15.7811,,19990823,11.305,,19910822,24.555
19910823,12.822,,19910822,4.741,,19900822,93.9719,,19930818,15.06719,,19990824,10.863,,19910823,23.433
19910826,13.281,,19910823,4.741,,19900823,93.9719,,19930819,14.32409,,19990825,10.608,,19910826,24.532
19910827,12.995,,19910826,5.481,,19900824,91.10099,,19930820,13.6724,,19990826,10.263,,19910827,22.319
19910828,13.068,,19910827,4.878,,19900827,69.5257,,19930823,14.6828,,19990827,9.852,,19910828,22.747
19910829,13.071,,19910828,5.474,,19900828,71.1222,,19930824,14.6828,,19990830,9.882,,19910829,20.694
19910830,12.824,,19910829,5.764,,19900829,71.1222,,19930825,14.55099,,19990831,10.428,,19910830,22.609
19910903,13.724,,19910830,5.672,,19900830,57.42229,,19930826,15.35639,,19990901,10.229,,19910903,22.533
19910904,14.198,,19910903,5.71,,19900831,64.73239,,19930827,15.4004,,19990902,10.799,,19910904,22.403
19910905,14.714,,19910904,6.107,,19900904,71.1955,,19930830,13.64319,,19990903,10.527,,19910905,21.106
19910906,14.233,,19910905,6.198,,19900905,67.58489,,19930831,14.7634,,19990906,10.527,,19910906,20.046
19910909,15.354,,19910906,5.672,,19900906,68.49669,,19930901,13.4418,,19990907,10.76,,19910909,20.168
19910910,15.157,,19910909,5.458,,19900907,65.31099,,19930902,14.53269,,19990908,10.762,,19910910,19.466
19910911,15.11,,19910910,5.428,,19900910,67.8559,,19930903,13.96899,,19990909,10.556,,19910911,20.282
19910912,15.005,,19910911,5.428,,19900911,62.6342,,19930906,13.969,,19990910,10.763,,19910912,21.808
19910913,15.429,,19910912,5.428,,19900912,65.35859,,19930907,14.41189,,19990913,11.022,,19910913,19.214
19910916,15.03,,19910913,5.428,,19900913,65.37319,,19930908,13.4967,,19990914,11.095,,19910916,19.786
19910917,14.781,,19910916,5.428,,19900914,64.71769,,19930909,14.38259,,19990915,11.089,,19910917,19.588
19910918,14.681,,19910917,5.428,,19900917,70.5437,,19930910,14.5218,,19990916,11.622,,19910918,20.023
19910919,14.539,,19910918,5.428,,19900918,61.67839,,19930913,17.2821,,19990917,11.561,,19910919,18.611
19910920,13.737,,19910919,5.428,,19900919,58.8869,,19930914,15.77379,,19990920,11.421,,19910920,16.994
19910923,13.665,,19910920,5.428,,19900920,58.60129,,19930915,16.0081,,19990921,11.805,,19910923,16.155
19910924,13.573,,19910923,4.779,,19900921,59.42879,,19930916,16.7,,19990922,11.979,,19910924,17.2
19910925,13.408,,19910924,4.589,,19900924,79.4931,,19930917,15.7445,,19990923,11.446,,19910925,16.231
19910926,13.13,,19910925,4.459,,19900925,82.7338,,19930920,16.57189,,19990924,11.142,,19910926,17.65
19910927,13.319,,19910926,4.467,,19900926,87.0584,,19930921,19.55179,,19990927,11.08,,19910927,17.421
19910930,13.628,,19910927,4.619,,19900927,88.15329,,19930922,18.65859,,19990928,10.638,,19910930,18.177
19911001,13.342,,19910930,4.993,,19900928,88.15329,,19930923,20.6354,,19990929,11.424,,19911001,18.367
19911002,13.45,,19911001,4.901,,19901001,79.9325,,19930924,19.57379,,19990930,11.518,,19911002,16.872
19911003,15.571,,19911002,5.321,,19901002,54.71279,,19930927,18.7171,,19991001,11.635,,19911003,16.269
19911004,15.658,,19911003,4.825,,19901003,79.4492,,19930928,16.92329,,19991004,11.808,,19911004,17.765
19911007,16.235,,19911004,4.07,,19901004,75.03299,,19930929,16.3595,,19991005,11.391,,19911007,17.169
19911008,15.963,,19911007,4.291,,19901005,75.9924,,19930930,15.65659,,19991006,11.064,,19911008,16.841
19911009,15.895,,19911008,4.215,,19901008,75.077,,19931001,15.18799,,19991007,10.578,,19911009,15.933
19911010,15.189,,19911009,4.398,,19901009,82.1369,,19931004,15.89459,,19991008,10.134,,19911010,16.864
19911011,14.811,,19911010,4.314,,19901010,86.35169,,19931005,15.23929,,19991011,10.134,,19911011,16.689
19911014,14.081,,19911011,3.475,,19901011,92.8477,,19931006,15.75179,,19991012,10.3,,19911014,16.811
19911015,14.459,,19911014,3.91,,19901012,81.108,,19931007,16.3229,,19991013,10.425,,19911015,14.965
19911016,13.781,,19911015,3.574,,19901015,72.68579,,19931008,15.8141,,19991014,10.56,,19911016,15.483
19911017,13.929,,19911016,5.245,,19901016,76.80539,,19931011,15.56879,,19991015,10.525,,19911017,15.048
19911018,13.512,,19911017,5.237,,19901017,62.0886,,19931012,16.31559,,19991018,10.782,,19911018,14.904
19911021,14.331,,19911018,5.275,,19901018,78.62529,,19931013,16.47669,,19991019,10.502,,19911021,15.27
19911022,13.953,,19911021,5.55,,19901019,69.54769,,19931014,16.6121,,19991020,10.033,,19911022,16.681
19911023,13.525,,19911022,5.794,,19901022,63.79859,,19931015,16.5792,,19991021,9.753,,19911023,16.666
19911024,14.412,,19911023,5.352,,19901023,88.4645,,19931018,17.38459,,19991022,9.879,,19911024,18.039
19911025,14.42,,19911024,5.397,,19901024,88.84539,,19931019,17.5969,,19991025,9.934,,19911025,16.757
19911028,13.901,,19911025,5.313,,19901025,88.0727,,19931020,17.2894,,19991026,10.106,,19911028,16.284
19911029,13.359,,19911028,5.702,,19901026,115.85479,,19931021,16.8062,,19991027,10.527,,19911029,18.421
19911030,13.215,,19911029,5.573,,19901029,89.62899,,19931022,16.7476,,19991028,10.441,,19911030,15.346
19911031,13.338,,19911030,5.725,,19901030,83.88729,,19931025,17.5457,,19991029,10.45,,19911031,15.232
19911101,13.907,,19911031,5.733,,19901031,68.44909,,19931026,17.75069,,19991101,10.491,,19911101,14.064
19911104,14.447,,19911101,5.352,,19901101,80.4598,,19931027,17.6189,,19991102,10.227,,19911104,12.729
19911105,14.885,,19911104,5.619,,19901102,98.86409,,19931028,16.72559,,19991103,10.362,,19911105,13.858
19911106,14.781,,19911105,5.496,,19901105,85.75109,,19931029,16.27899,,19991104,10.509,,19911106,14.965
19911107,13.908,,19911106,5.199,,19901106,98.3587,,19931101,18.7171,,19991105,10.216,,19911107,15.682
19911108,13.521,,19911107,4.81,,19901107,117.7626,,19931102,17.8605,,19991108,10.108,,19911108,15.804
19911111,13.179,,19911108,3.681,,19901108,106.1511,,19931103,16.44009,,19991109,10.207,,19911111,19.672
19911112,12.6,,19911111,4.016,,19901109,97.28579,,19931104,18.13509,,19991110,9.991,,19911112,19.512
19911113,12.366,,19911112,4.146,,19901112,78.5447,,19931105,18.16799,,19991111,9.991,,19911113,16.559
19911114,12.356,,19911113,4.146,,19901113,85.89029,,19931108,18.8013,,19991112,9.002,,19911114,16.132
19911115,17.541,,19911114,4.146,,19901114,75.72149,,19931109,18.6,,19991115,9.464,,19911115,15.369
19911118,15.255,,19911115,4.146,,19901115,72.44049,,19931110,18.69149,,19991116,9.222,,19911118,15.117
19911119,16.755,,19911118,5.573,,19901116,68.65419,,19931111,18.03619,,19991117,9.242,,19911119,14.926
19911120,17.104,,19911119,5.847,,19901119,73.72209,,19931112,17.0002,,19991118,9.369,,19911120,14.118
19911121,16.958,,19911120,5.855,,19901120,70.27269,,19931115,16.42539,,19991119,8.849,,19911121,13.805
19911122,19.458,,19911121,5.496,,19901121,69.6722,,19931116,16.45109,,19991122,8.737,,19911122,14.675
19911125,18.913,,19911122,5.329,,19901123,68.30999,,19931117,15.79209,,19991123,9.384,,19911125,14.148
19911126,16.467,,19911125,5.55,,19901126,80.1376,,19931118,16.2497,,19991124,9.566,,19911126,14.492
19911127,17.688,,19911126,5.252,,19901127,70.02369,,19931119,16.11059,,19991125,9.566,,19911127,14.293
19911129,17.998,,19911127,5.245,,19901128,62.0483,,19931122,16.4913,,19991126,10.935,,19911129,14.644
19911202,17.204,,19911129,4.878,,19901129,69.2108,,19931123,15.91289,,19991129,11.596,,19911202,15.01
19911203,17.413,,19911202,5.046,,19901130,47.74129,,19931124,16.38879,,19991130,11.715,,19911203,14.232
19911204,17.167,,19911203,5.428,,19901203,71.50309,,19931125,16.3888,,19991201,11.558,,19911204,13.561
19911205,17.316,,19911204,5.176,,19901204,66.14219,,19931126,16.3888,,19991202,12.749,,19911205,14.69
19911206,16.181,,19911205,5.222,,19901205,69.8113,,19931129,16.40349,,19991203,12.616,,19911206,14.11
19911209,16.61,,19911206,4.947,,19901206,72.5723,,19931130,16.6744,,19991206,11.684,,19911209,14.171
19911210,16.678,,19911209,5.558,,19901207,77.30339,,19931201,16.8428,,19991207,12.555,,19911210,14.484
19911211,16.959,,19911210,5.191,,19901210,75.9485,,19931202,16.52059,,19991208,12.006,,19911211,14.331
19911212,15.618,,19911211,4.833,,19901211,75.5091,,19931203,16.19109,,19991209,12.348,,19911212,15.338
19911213,14.918,,19911212,4.467,,19901212,76.76869,,19931206,16.3449,,19991210,11.847,,19911213,14.659
19911216,14.965,,19911213,3.849,,19901213,75.4651,,19931207,15.6932,,19991213,12.197,,19911216,15.522
19911217,14.629,,19911216,3.818,,19901214,79.7714,,19931208,16.83539,,19991214,12.389,,19911217,15.941
19911218,14.509,,19911217,2.941,,19901217,82.2834,,19931209,15.9349,,19991215,12.285,,19911218,16.651
19911219,14.252,,19911218,2.941,,19901218,76.1828,,19931210,16.7366,,19991216,12.418,,19911219,15.567
19911220,13.721,,19911219,2.941,,19901219,68.65419,,19931213,16.7439,,19991217,12.704,,19911220,15.201
19911223,12.757,,19911220,2.941,,19901220,56.236,,19931214,16.5645,,19991220,12.687,,19911223,16.475
19911224,12.323,,19911223,5.886,,19901221,58.1985,,19931215,16.1765,,19991221,12.332,,19911224,15.377
